0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:25:25 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:25:33 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:25:33 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:25:33 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:25:33 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:25:33 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:25:33 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:23 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:23 +0530] "GET /Major-Project/image/audio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:23 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:30 +0530] "GET /Major-Project/landing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:32 +0530] "GET /Major-Project/upload.html HTTP/1.1" 200 10666
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:33 +0530] "GET /Major-Project/image/upload.jpg HTTP/1.1" 200 547652
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:35 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:35 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:37 +0530] "GET /Major-Project/displaySummary.jsp HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:39 +0530] "GET /Major-Project/notes.html HTTP/1.1" 200 6607
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:40 +0530] "GET /Major-Project/image/note1.jpg HTTP/1.1" 200 499771
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:40 +0530] "GET /Major-Project/getNotes.jsp HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:26:44 +0530] "GET /Major-Project/translator.html HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:27:07 +0530] "GET /Major-Project/translator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:27:10 +0530] "GET /Major-Project/audio_summarizer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2025:22:27:10 +0530] "GET /Major-Project/CSS/audio.css HTTP/1.1" 200 2877
